,"Demanda observada (ventas), en unidades, y precio de venta (en M$) semanal",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,Producto,1,Producto,2,Producto,3,Producto,4,Producto,5,Producto,6,Producto,7,Producto,8,Producto,9,Producto,10
,,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio,Dato demanda,Dato precio
1,1/1/2021,2319,28.79,5683,18.39,3153,30.39,947,55.99,6976,24.79,2701,49.59,5361,68.79,2122,49.59,1585,31.99,4326,17.59
2,1/8/2021,3180,28.79,1875,18.39,4543,30.39,651,55.99,5852,24.79,1573,49.59,2151,68.79,3990,49.59,4682,31.99,8585,17.59
3,1/15/2021,1856,35.99,7368,22.99,3076,37.99,1555,69.99,8894,30.99,2005,61.99,6204,85.99,1907,61.99,2329,39.99,8827,21.99
4,1/22/2021,3295,35.99,5414,22.99,3674,37.99,1210,69.99,6175,30.99,3055,61.99,5690,85.99,3969,61.99,2945,39.99,7799,21.99
5,1/29/2021,2375,35.99,6873,22.99,2584,37.99,1701,69.99,3405,30.99,2030,61.99,2982,85.99,3970,61.99,4621,39.99,10708,21.99
6,2/5/2021,1584,28.79,7534,18.39,2406,30.39,1082,55.99,4142,24.79,2236,49.59,6126,68.79,1499,49.59,2013,31.99,5349,17.59
7,2/12/2021,1538,28.79,2671,18.39,2674,30.39,994,55.99,5806,24.79,2560,49.59,6840,68.79,4422,49.59,3536,31.99,6935,17.59
8,2/19/2021,2296,28.79,4872,18.39,3138,30.39,1156,55.99,6647,24.79,1907,49.59,4596,68.79,3403,49.59,3786,31.99,6532,17.59
9,2/26/2021,2177,35.99,10931,22.99,2866,37.99,630,69.99,10469,30.99,2804,61.99,4904,85.99,1614,61.99,5272,39.99,4906,21.99
10,3/5/2021,2334,35.99,6986,22.99,3527,37.99,1323,69.99,7581,30.99,227,61.99,6580,85.99,1059,61.99,3574,39.99,7812,21.99
11,3/12/2021,2534,39.59,6451,25.29,5558,41.79,1487,76.99,4342,34.09,2743,68.19,4948,94.59,1503,68.19,4316,43.99,3161,24.19
12,3/19/2021,3648,43.19,10720,27.59,3137,45.59,1385,83.99,7795,37.19,2797,74.39,5620,103.19,3741,74.39,5658,47.99,8750,26.39
13,3/26/2021,3536,43.19,12542,27.59,4386,45.59,867,83.99,12366,37.19,2152,74.39,3278,103.19,6058,74.39,2259,47.99,9333,26.39
14,4/2/2021,2529,43.19,5802,27.59,3260,45.59,1909,83.99,6376,37.19,2315,74.39,4661,103.19,4004,74.39,4074,47.99,9810,26.39
15,4/9/2021,3181,43.19,8817,27.59,4262,45.59,1167,83.99,6274,37.19,2651,74.39,4728,103.19,4727,74.39,4078,47.99,16250,26.39
16,4/16/2021,3264,43.19,11364,27.59,4624,45.59,480,83.99,6474,37.19,2471,74.39,7497,103.19,3540,74.39,4761,47.99,10092,26.39
