producto;grupo;mu_promedio;precio_promedio;sigma_cuadrado;alfa;gamma;rho;theta (simbolo raro)
producto_1;alto;2875,764706;40,43705882;52573,76149;0,00895;1;4129,805453;166,4055531
producto_1;bajo;1944,986842;35,70578947;36549,57968;0,00895;0,676337267;3958,580254;109,3199921
producto_1;medio;2362,529412;39,37823529;15670,03033;0,00895;0,821530846;4090,854324;419,4285054
producto_10;alto;9077,088235;24,83705882;542747,5308;0,00895;1;11336,69873;154,3902833
producto_10;bajo;5711,631579;21,70052632;334909,4748;0,00895;0,629236098;11022,88066;99,09765804
producto_10;medio;7520,544118;24,06058824;270556,7831;0,00895;0,828519446;11258,18846;215,0220215
producto_2;alto;7496,485294;29,96647059;461169,8943;0,00895;1;9802,468042;123,8716897
producto_2;bajo;5066,697368;24,96368421;395368,261;0,00895;0,675876383;9373,244087;65,773301
producto_2;medio;6385,279412;28,59;119425,046;0,00895;0,851769751;9682,448207;360,6853978
producto_3;alto;4867,911765;45,16647059;257471,2886;0,00895;1;7292,926904;93,80937518
producto_3;bajo;3076,460526;38,41105263;191033,1824;0,00895;0,631987734;6865,054448;50,35525879
producto_3;medio;3960,544118;44,93117647;38557,1034;0,00895;0,813602281;7277,585017;453,3950784
producto_4;alto;1911,264706;74,72529412;21135,30055;0,00895;1;3730,55328;190,0190369
producto_4;bajo;1416,513158;65,99;14842,76718;0,00895;0,741139181;3450,004973;149,4467126
producto_4;medio;1627,573529;71,03705882;1308,037224;0,00895;0,851568872;3609,419114;-8290,124005
producto_5;alto;11035,35294;37,26058824;767602,6176;0,00895;1;15403,36955;160,9625743
producto_5;bajo;6560,539474;31,56894737;955689,1407;0,00895;0,594502007;14638,3691;45,34757264
producto_5;medio;8662,779412;33,87235294;309361,71;0,00895;0,785002479;14943,27823;249,5643965
producto_6;alto;2838,470588;62,58823529;93039,05377;0,00895;1;4970,050931;89,32220831
producto_6;bajo;2120,171053;58,35789474;36284,80592;0,00895;0,74694135;4785,39485;131,572467
producto_6;medio;2475,25;58,47058824;8081,9375;0,00895;0,872036515;4790,223867;1092,777609
producto_7;alto;5695,220588;93,16647059;70915,98346;0,00895;1;13111,20544;497,319199
producto_7;bajo;4133,026316;95,91105263;123123,7909;0,00895;0,725700831;13437,25739;143,5565742
producto_7;medio;4861,691176;98,99;50128,2932;0,00895;0,853644051;13812,69131;522,1518744
producto_8;alto;4238;67,82529412;81574,46875;0,00895;1;7776,667015;232,2402909
producto_8;bajo;2867,960526;63,62157895;148470,7796;0,00895;0,676724994;7489,519112;56,49064786
producto_8;medio;3560,955882;67,27823529;36844,20496;0,00895;0,840244427;7738,684143;380,9846438
producto_9;alto;5311,088235;45,16647059;506906,2808;0,00895;1;7956,877641;56,2359023
producto_9;bajo;3573,25;39,25315789;222999,1319;0,00895;0,672790555;7546,716124;58,18873986
producto_9;medio;4423,808824;43,99;25309,06664;0,00895;0,832938303;7873,53594;937,0286296
