producto;grupo;mu_promedio;precio_promedio;sigma_cuadrado;alfa;gamma;rho;theta (simbolo raro);;;;;;;;;;;;;;producto;grupo;mu_promedio;precio_promedio;sigma_cuadrado;alfa;gamma;rho;theta (simbolo raro)
producto_1;alto;3604,838235;42,34294118;65803,34329;0,00895;1;5265,869193;208,9255793;;;;;;;;;;;;;;producto_1;alto;3604,838235;42,34294118;65803,34329;0,00895;1;5265,869193;208,9255793
producto_1;bajo;2454,671053;34,85315789;32663,53509;0,00895;0,680937921;4924,450331;199,4583434;;;;;;;;;;;;;;producto_1;bajo;2454,671053;34,85315789;32663,53509;0,00895;0,680937921;4924,450331;199,4583434
producto_1;medio;2904,544118;38,42529412;20933,59559;0,00895;0,80573494;5084,431784;467,932356;;;;;;;;;;;;;;producto_1;medio;2904,544118;38,42529412;20933,59559;0,00895;0,80573494;5084,431784;467,932356
producto_10;alto;11863,52941;25,87235294;2950240,913;0,00895;1;14954,71295;47,89831656;;;;;;;;;;;;;;producto_10;alto;11863,52941;25,87235294;2950240,913;0,00895;1;14954,71295;47,89831656
producto_10;bajo;7360,894737;20,89;1217557,467;0,00895;0,620464154;14302,50131;44,77187636;;;;;;;;;;;;;;producto_10;bajo;7360,894737;20,89;1217557,467;0,00895;0,620464154;14302,50131;44,77187636
producto_10;medio;9493,161765;23,93117647;164190,2417;0,00895;0,800197094;14697,14075;582,5586385;;;;;;;;;;;;;;producto_10;medio;9493,161765;23,93117647;164190,2417;0,00895;0,800197094;14697,14075;582,5586385
producto_2;alto;8820,191176;26,77823529;492077,5276;0,00895;1;11208,90723;160,9820825;;;;;;;;;;;;;;producto_2;alto;8820,191176;26,77823529;492077,5276;0,00895;1;11208,90723;160,9820825
producto_2;bajo;6040,447368;22,38473684;429666,6985;0,00895;0,684843134;10776,70586;86,130178;;;;;;;;;;;;;;producto_2;bajo;6040,447368;22,38473684;429666,6985;0,00895;0,684843134;10776,70586;86,130178
producto_2;medio;7497,161765;24,68117647;74726,38235;0,00895;0,849999917;11000,49283;836,056614;;;;;;;;;;;;;;producto_2;medio;7497,161765;24,68117647;74726,38235;0,00895;0,849999917;11000,49283;836,056614
producto_3;alto;4411,088235;43,35470588;108351,8902;0,00895;1;6502,235508;187,1998201;;;;;;;;;;;;;;producto_3;alto;4411,088235;43,35470588;108351,8902;0,00895;1;6502,235508;187,1998201
producto_3;bajo;2912,526316;36,49;90062,24232;0,00895;0,660273874;6114,768584;97,33605488;;;;;;;;;;;;;;producto_3;bajo;2912,526316;36,49;90062,24232;0,00895;0,660273874;6114,768584;97,33605488
producto_3;medio;3598,720588;42,23705882;20456,43658;0,00895;0,815835095;6437,51825;768,2410759;;;;;;;;;;;;;;producto_3;medio;3598,720588;42,23705882;20456,43658;0,00895;0,815835095;6437,51825;768,2410759
producto_4;alto;1476,75;76,37235294;8219,09375;0,00895;1;2925,23929;323,446956;;;;;;;;;;;;;;producto_4;alto;1476,75;76,37235294;8219,09375;0,00895;1;2925,23929;323,446956
producto_4;bajo;1084,605263;71,46368421;8841,516082;0,00895;0,734454216;2799,508038;151,6542609;;;;;;;;;;;;;;producto_4;bajo;1084,605263;71,46368421;8841,516082;0,00895;0,734454216;2799,508038;151,6542609
producto_4;medio;1292,308824;76,57823529;2675,074449;0,00895;0,875103317;2930,634443;1207,769462;;;;;;;;;;;;;;producto_4;medio;1292,308824;76,57823529;2675,074449;0,00895;0,875103317;2930,634443;1207,769462
producto_5;alto;8331,323529;35,73117647;433424,4435;0,00895;1;11470,93403;163,28411;;;;;;;;;;;;;;producto_5;alto;8331,323529;35,73117647;433424,4435;0,00895;1;11470,93403;163,28411
producto_5;bajo;5864,552632;30,58210526;418544,9693;0,00895;0,703916084;10954,30109;83,34046439;;;;;;;;;;;;;;producto_5;bajo;5864,552632;30,58210526;418544,9693;0,00895;0,703916084;10954,30109;83,34046439
producto_5;medio;7120,661765;33,17823529;73732,23392;0,00895;0,854685542;11211,80831;761,1864175;;;;;;;;;;;;;;producto_5;medio;7120,661765;33,17823529;73732,23392;0,00895;0,854685542;11211,80831;761,1864175
producto_6;alto;2794;71,47235294;60213,67188;0,00895;1;5297,059311;135,9540336;;;;;;;;;;;;;;producto_6;alto;2794;71,47235294;60213,67188;0,00895;1;5297,059311;135,9540336
producto_6;bajo;1965,907895;61,82684211;31035,40424;0,00895;0,703617715;4858,960362;132,9501483;;;;;;;;;;;;;;producto_6;bajo;1965,907895;61,82684211;31035,40424;0,00895;0,703617715;4858,960362;132,9501483
producto_6;medio;2326,897059;65,63705882;15726,3989;0,00895;0,832819277;5027,515558;404,0784492;;;;;;;;;;;;;;producto_6;medio;2326,897059;65,63705882;15726,3989;0,00895;0,832819277;5027,515558;404,0784492
producto_7;alto;6421,838235;95,09588235;310975,6011;0,00895;1;15041,49256;135,411252;;;;;;;;;;;;;;producto_7;alto;6421,838235;95,09588235;310975,6011;0,00895;1;15041,49256;135,411252
producto_7;bajo;4735,236842;88,02684211;92322,1769;0,00895;0,737364703;14119,32806;256,0024124;;;;;;;;;;;;;;producto_7;bajo;4735,236842;88,02684211;92322,1769;0,00895;0,737364703;14119,32806;256,0024124
producto_7;medio;5478,132353;92,56647059;14998,46967;0,00895;0,853047391;14704,8051;3152,19231;;;;;;;;;;;;;;producto_7;medio;5478,132353;92,56647059;14998,46967;0,00895;0,853047391;14704,8051;3152,19231
producto_8;alto;4101,897059;72,20176471;89171,12546;0,00895;1;7827,59537;197,7866709;;;;;;;;;;;;;;producto_8;alto;4101,897059;72,20176471;89171,12546;0,00895;1;7827,59537;197,7866709
producto_8;bajo;2770,368421;62,96894737;148535,3637;0,00895;0,675387115;7206,775628;52,65284148;;;;;;;;;;;;;;producto_8;bajo;2770,368421;62,96894737;148535,3637;0,00895;0,675387115;7206,775628;52,65284148
producto_8;medio;3416,676471;63,63117647;38127,00597;0,00895;0,832950321;7249,616663;336,3171215;;;;;;;;;;;;;;producto_8;medio;3416,676471;63,63117647;38127,00597;0,00895;0,832950321;7249,616663;336,3171215
producto_9;alto;4952,220588;45,63705882;105956,9288;0,00895;1;7450,549262;242,8054018;;;;;;;;;;;;;;producto_9;alto;4952,220588;45,63705882;105956,9288;0,00895;1;7450,549262;242,8054018
producto_9;bajo;3425,592105;39,88473684;361048,2654;0,00895;0,691728497;7076,677192;32,81302375;;;;;;;;;;;;;;producto_9;bajo;3425,592105;39,88473684;361048,2654;0,00895;0,691728497;7076,677192;32,81302375
producto_9;medio;4302,985294;42,81352941;14821,77711;0,00895;0,868900167;7264,628556;1760,248017;;;;;;;;;;;;;;producto_9;medio;4302,985294;42,81352941;14821,77711;0,00895;0,868900167;7264,628556;1760,248017
