semana_año,producto_idx,tienda_idx,demanda_real,demanda_estimacion_modelo
1,0,0,2171.33,2055.01
1,0,1,2808.33,2664.73
1,1,0,5240.0,5178.0
1,1,1,5283.0,5936.34
1,2,0,3172.67,3291.79
1,2,1,2983.33,2955.7
1,3,0,1488.0,1420.7
1,3,1,1119.67,1153.7
1,4,0,7743.33,7466.23
1,4,1,6254.67,6328.86
1,5,0,1941.33,2097.15
1,5,1,2013.67,1961.74
1,6,0,3938.67,3695.01
1,6,1,4228.67,4162.44
1,7,0,2338.67,2503.56
1,7,1,2901.33,2933.09
1,8,0,3142.33,3762.27
1,8,1,3352.67,3614.85
1,9,0,5516.33,5490.38
1,9,1,7270.33,7088.43
3,0,0,2934.0,3276.42
3,0,1,2597.0,2610.12
3,1,0,5259.0,4871.08
3,1,1,6987.33,6864.96
3,2,0,3697.33,3769.59
3,2,1,3119.33,3334.25
3,3,0,1630.0,1748.3
3,3,1,1155.0,1007.91
3,4,0,10137.67,10241.69
3,4,1,6112.33,6182.97
3,5,0,3118.0,3189.86
3,5,1,2707.33,2651.42
3,6,0,3803.0,3824.23
3,6,1,5163.67,5069.95
3,7,0,3336.67,3359.83
3,7,1,3045.67,3205.45
3,8,0,4903.33,4963.24
3,8,1,3834.67,3962.11
3,9,0,7060.0,7111.0
3,9,1,8736.0,8808.81
4,0,0,2945.0,2900.87
4,0,1,2802.33,2860.1
4,1,0,4644.67,4441.32
4,1,1,4913.33,5068.82
4,2,0,3385.0,3022.13
4,2,1,3728.67,3660.18
4,3,0,1311.33,1347.41
4,3,1,1057.67,1054.2
4,4,0,6082.33,7083.06
4,4,1,5936.0,6175.62
4,5,0,2178.67,2151.24
4,5,1,2211.0,2180.42
4,6,0,3606.0,3637.03
4,6,1,3705.67,3740.01
4,7,0,3075.33,3059.42
4,7,1,2397.33,2408.0
4,8,0,5626.33,5356.18
4,8,1,4034.0,4109.42
4,9,0,5520.0,5278.04
4,9,1,10707.0,11014.22
2,0,0,2360.67,2366.07
2,0,1,2975.67,2886.23
2,1,0,5266.67,5462.44
2,1,1,7952.67,7790.61
2,2,0,5122.67,5386.0
2,2,1,2873.0,2871.95
2,3,0,2234.33,2227.41
2,3,1,1280.33,1472.45
2,4,0,7019.0,6740.07
2,4,1,9074.0,8480.89
2,5,0,1765.33,1626.15
2,5,1,1951.33,2007.78
2,6,0,3228.33,3083.37
2,6,1,3866.33,3887.93
2,7,0,3375.67,3324.48
2,7,1,2193.0,2057.31
2,8,0,4207.33,4124.34
2,8,1,3227.33,3092.16
2,9,0,4836.0,5245.83
2,9,1,8765.33,8730.13
