semana_año,producto_idx,tienda_idx,demanda_real,demanda_estimacion_modelo
3,0,0,4344.67,3996.66
3,0,1,3075.67,3194.29
3,1,0,6634.33,6247.71
3,1,1,9427.0,9088.83
3,2,0,5580.67,5377.18
3,2,1,5211.67,4897.93
3,3,0,3587.67,3557.51
3,3,1,1964.0,2012.06
3,4,0,14318.0,14593.0
3,4,1,8926.33,9038.17
3,5,0,4663.0,4711.86
3,5,1,3956.0,4070.08
3,6,0,10035.67,10081.14
3,6,1,12556.33,12993.31
3,7,0,5844.0,5991.92
3,7,1,5646.0,5612.39
3,8,0,7812.67,7945.46
3,8,1,6200.67,6224.08
3,9,0,8706.33,8903.7
3,9,1,11579.33,11149.17
