semana;tienda;producto;demanda_real;inventario_disp;precio_optimo;orden_inv_opt;demanda_insatisfecha;costo_var;costo_fijo;binaria_ordenar;venta;costo_orden;costo_orden_fijo;costo_dem_ins;costo_inv;demanda_real_antes;demanda_real_despues;shortage_despues
1;0;0;1970,67;3404,0;38,68964990139965;0,0;0,0;28,792;530,0;0;76244,53;0,0;0,0;0,0;4126,84;1970,67;1970,67;0,0
2;0;0;2888,33;1433,33;23,38417191638692;0,0;1455,0;28,792;530,0;0;33517,24;0,0;0,0;3402,4;0,0;2888,33;2888,33;1455,0
3;0;0;2561,67;1677,9250000001014;8,353033690442112;1677,93;883,7449999998987;28,792;530,0;1;70078,82;48310,82;530,0;3690,98;0,0;2561,67;4344,67;2666,744999999899
4;0;0;2678,33;2621,785;49,89758871050524;2621,78;56,54500000000007;28,792;530,0;1;130820,75;75486,43;530,0;282,15;0,0;2678,33;2678,33;56,54500000000007
1;0;1;5446,67;8666,0;19,66417065058323;0,0;0,0;20,792;530,0;0;107104,25;0,0;0,0;0,0;6693,63;5446,67;5446,67;0,0
2;0;1;5283,0;5433,68;25,141564701844892;2214,35;0,0;20,792;530,0;1;132822,89;46040,77;530,0;0,0;313,29;5283,0;5283,0;0,0
3;0;1;5577,0;5124,340000000003;4,756036101750153;4973,66;452,6599999999971;20,792;530,0;1;121857,73;103412,34;530,0;1076,43;0,0;5577,0;6634,33;1509,989999999997
4;0;1;4899,67;4822,364999999996;33,5430322249673;4822,36;77,30500000000393;20,792;530,0;1;161756,74;100266,61;530,0;259,3;0,0;4899,67;4899,67;77,30500000000393
1;0;2;3381,0;5695,0;28,347288445451525;0,0;0,0;31,992;530,0;0;95842,18;0,0;0,0;0,0;7402,95;3381,0;3381,0;0,0
2;0;2;4193,67;2313,999999999916;58,08354061749962;0,0;1879,670000000084;31,992;530,0;0;134405,31;0,0;0,0;10917,79;0,0;4193,67;4193,67;1879,6700000000842
3;0;2;3255,67;2259,745000000135;12,05847514679725;2259,75;995,9249999998652;31,992;530,0;1;136245,39;72293,76;530,0;6004,67;0,0;3255,67;5580,67;3320,924999999865
4;0;2;2959,67;2838,545;56,69020048218858;2838,55;121,125;31,992;530,0;1;160917,69;90810,73;530,0;686,66;0,0;2959,67;2959,67;121,125
