numero_semana;producto;tienda;demanda_promedio;precio_promedio
1;1;1;1606,5;28,79
2;1;1;2181,75;34,19
3;1;1;2449,5;35,99
4;1;1;2985,75;35,99
5;1;1;2576,75;30,59
6;1;1;1726;28,79
7;1;1;2033,75;28,79
8;1;1;2697,75;34,19
9;1;1;2429;35,99
10;1;1;2619,75;38,69
11;1;1;2612,75;42,29
12;1;1;1775,25;43,19
13;1;1;3238,5;43,19
14;1;1;2256;43,19
15;1;1;3533,75;43,19
16;1;1;2352;43,19
17;1;1;2550,75;43,19
18;1;1;2716;43,19
19;1;1;2749,5;43,19
20;1;1;1905,75;43,19
21;1;1;2448;43,19
22;1;1;2679,75;43,19
23;1;1;2170,75;43,19
24;1;1;3166;43,19
25;1;1;2622,25;43,19
26;1;1;2092,5;37,79
27;1;1;2540;35,99
28;1;1;1792;35,99
29;1;1;2221;35,99
30;1;1;2486,75;35,99
31;1;1;2349,75;35,99
32;1;1;2110,5;35,99
33;1;1;2721,25;35,99
34;1;1;2344,25;35,99
35;1;1;3176;41,39
36;1;1;2674,5;43,19
37;1;1;2863,75;43,19
38;1;1;1878,25;37,79
39;1;1;1535,25;35,99
40;1;1;2619,5;35,99
41;1;1;1832;35,99
42;1;1;2486,5;35,99
43;1;1;1886,75;35,99
44;1;1;2145;35,99
45;1;1;1839,75;35,99
46;1;1;2708,5;35,99
47;1;1;2219,75;35,99
48;1;1;1727;41,39
49;1;1;2832,25;43,19
50;1;1;2105,75;48,59
51;1;1;2969,75;44,99
52;1;1;1945,5;34,19
1;2;1;5217,5;20,79
2;2;1;5168;24,69
3;2;1;6052;25,99
4;2;1;5081,25;25,99
5;2;1;4334,75;22,09
6;2;1;3418;20,79
7;2;1;5085,5;20,79
8;2;1;5415,25;24,69
9;2;1;5304,5;25,99
10;2;1;6547,5;27,94
11;2;1;6407,25;30,54
12;2;1;6856;31,19
13;2;1;6668,75;31,19
14;2;1;6442,25;31,19
15;2;1;5859,5;31,19
16;2;1;7078;31,19
17;2;1;7371,5;31,19
18;2;1;5483,75;31,19
19;2;1;8334,5;31,19
20;2;1;5727,5;31,19
21;2;1;7368,25;31,19
22;2;1;5864;31,19
23;2;1;7924;31,19
24;2;1;6976,5;31,19
25;2;1;8190,25;31,19
26;2;1;5668,5;27,29
27;2;1;5840,5;25,99
28;2;1;4205,5;25,99
29;2;1;5844,75;25,99
30;2;1;6938,75;25,99
31;2;1;5969,5;25,99
32;2;1;6381,5;25,99
33;2;1;7369;25,99
34;2;1;7686,75;25,99
35;2;1;6783,5;29,89
36;2;1;9275,5;31,19
37;2;1;8200,75;31,19
38;2;1;5386,75;27,29
39;2;1;6523,5;25,99
40;2;1;6069,5;25,99
41;2;1;6235,5;25,99
42;2;1;7432,75;25,99
43;2;1;6505,5;25,99
44;2;1;4693;25,99
45;2;1;6249,75;25,99
46;2;1;4760,25;25,99
47;2;1;6896,75;25,99
48;2;1;5242,5;29,89
49;2;1;5568;31,19
50;2;1;8865,25;35,09
51;2;1;6787;32,49
52;2;1;5247,5;24,69
1;3;1;2622,5;31,99
2;3;1;4455,75;37,99
3;3;1;4261;39,99
4;3;1;2753,5;39,99
5;3;1;3317,5;33,99
6;3;1;2320,25;31,99
7;3;1;2702;31,99
8;3;1;3680,25;37,99
9;3;1;4745;39,99
10;3;1;3877,75;42,99
11;3;1;4146,5;46,99
12;3;1;4881,25;47,99
13;3;1;3442;47,99
14;3;1;4743;47,99
15;3;1;3894,5;47,99
16;3;1;4170,5;47,99
17;3;1;3766,5;47,99
18;3;1;5456;47,99
19;3;1;5453;47,99
20;3;1;4429,25;47,99
21;3;1;3913;47,99
22;3;1;4999;47,99
23;3;1;4340,25;47,99
24;3;1;3176,75;47,99
25;3;1;6174;47,99
26;3;1;4708;41,99
27;3;1;3615,5;39,99
28;3;1;2918,25;39,99
29;3;1;3838;39,99
30;3;1;3935,25;39,99
31;3;1;4320,25;39,99
32;3;1;4639;39,99
33;3;1;3837;39,99
34;3;1;4506;39,99
35;3;1;4830,75;45,99
36;3;1;4878,25;47,99
37;3;1;4055,75;47,99
38;3;1;3493,25;41,99
39;3;1;3372;39,99
40;3;1;3598,75;39,99
41;3;1;3037,25;39,99
42;3;1;2800;39,99
43;3;1;3378,75;39,99
44;3;1;4286,5;39,99
45;3;1;3910,5;39,99
46;3;1;3199;39,99
47;3;1;3704;39,99
48;3;1;3324;45,99
49;3;1;4989,5;47,99
50;3;1;4676,75;53,99
51;3;1;3258,25;49,99
52;3;1;3427;37,99
1;4;1;1183;52,79
2;4;1;1505,25;62,69
3;4;1;1776,75;65,99
4;4;1;1679,75;65,99
5;4;1;1495,25;56,09
6;4;1;1727;52,79
7;4;1;1424,5;52,79
8;4;1;1653;62,69
9;4;1;1657,5;65,99
10;4;1;1537,25;70,94
11;4;1;1966;77,54
12;4;1;1724,5;79,19
13;4;1;1489;79,19
14;4;1;1602,5;79,19
15;4;1;1692,25;79,19
16;4;1;1618;79,19
17;4;1;1623,25;79,19
18;4;1;1613,25;79,19
19;4;1;1454;79,19
