semana_año;producto_idx;tienda_idx;precio_optimo;pedido_optimo_sem1_horizonte;demanda_promedio_sem1_horizonte;shortage_promedio_sem1_horizonte;inventario_inicial_sem1_horizonte;inventario_final_sem1_horizonte
1;0;0;30,231598;0,0;1467,04;0,0;3404,0;1936,96
1;0;1;30,231598;0,0;1847,29;0,0;4121,0;2273,71
1;1;0;21,831598;0,0;4072,555;0,0;8666,0;4593,445
1;1;1;21,831598;0,0;4731,62;0,0;10096,0;5364,38
1;2;0;33,5916;0,0;2228,02;0,0;5695,0;3466,98
1;2;1;33,5916;0,0;2073,26;0,0;5021,0;2947,74
1;3;0;55,4316;1,1368683772161603e-13;850,66;0,0;2235,0;1384,3400000000001
1;3;1;55,4316;0,0;677,195;0,0;1721,0;1043,8049999999998
1;4;0;26,871597;0,0;4952,095;0,0;12503,0;7550,905
1;4;1;26,871597;0,0;4517,815;0,0;9719,0;5201,1849999999995
1;5;0;47,039997;0,0;1402,935;0,0;3345,0;1942,065
1;5;1;47,039997;0,0;1338,955;0,0;3205,0;1866,045
1;6;0;66,14265;0,0;2588,265;0,0;6582,0;3993,735
1;6;1;66,14265;0,0;2760,72;0,0;7579,0;4818,28
1;7;0;48,817123;0,0;1922,875;0,0;5240,0;3317,125
1;7;1;48,817123;0,0;2253,025;0,0;5087,0;2833,975
1;8;0;34,011494;-2,0197033454516514e-10;2580,27;0,0;6206,0;3625,7299999997485
1;8;1;34,011494;0,0;2559,805;0,0;5817,0;3257,195
1;9;0;18,471598;0,0;4797,285;0,0;10813,0;6015,715
1;9;1;18,471598;0,0;5997,325;0,0;13811,0;7813,675
2;0;0;30,231598;5122,214999999998;1843,85;0,0;1936,96;5215,324999999999
2;0;1;30,231598;5150,119999999999;2253,83;0,0;2273,71;5169,999999999999
2;1;0;21,831598;10378,454999999998;4073,81;0,0;4593,445;10898,09
2;1;1;21,831598;15106,254999999996;6055,83;0,0;5364,38;14414,805
2;2;0;33,5916;6573,040000000003;3721,67;0,0;3466,98;6318,350000000002
2;2;1;33,5916;0,0;2062,02;0,0;2947,74;885,7199999999998
2;3;0;55,4316;0,0;1005,35;0,0;1384,3400000000001;378,9900000000001
2;3;1;55,4316;0,0;681,555;0,0;1043,8049999999998;362,2499999999998
2;4;0;26,871597;14233,88500000001;5179,715;0,0;7550,905;16605,07500000001
2;4;1;26,871597;14498,605000000001;6668,445;0,0;5201,1849999999995;13031,345000000001
2;5;0;47,039997;0,0;1389,845;0,0;1942,065;552,22
2;5;1;47,039997;0,0;1634,65;0,0;1866,045;231,39499999999998
2;6;0;66,14265;0,0;2581,56;0,0;3993,735;1412,1750000000002
2;6;1;66,14265;0,0;3347,63;0,0;4818,28;1470,6499999999996
2;7;0;48,817123;4674,515000000001;2924,745;0,0;3317,125;5066,895000000001
2;7;1;48,817123;0,0;1841,655;0,0;2833,975;992,3199999999999
2;8;0;34,011494;0,0;3324,23;0,0;3625,7299999997485;301,4999999997485
2;8;1;34,011494;6814,245000000001;2515,85;0,0;3257,195;7555,59
2;9;0;18,471598;13201,705000000002;4766,76;0,0;6015,715;14450,660000000003
2;9;1;18,471598;22306,030000000002;8148,66;0,0;7813,675;21971,045000000002
3;0;0;30,231598;0,0;2234,85;0,0;5215,324999999999;2980,474999999999
3;0;1;30,231598;0,0;1821,82;0,0;5169,999999999999;3348,1799999999994
3;1;0;21,831598;0,0;4126,19;0,0;10898,09;6771,9
3;1;1;21,831598;0,0;6024,415;0,0;14414,805;8390,39
3;2;0;33,5916;0,0;3018,95;0,0;6318,350000000002;3299,400000000002
3;2;1;33,5916;7863,295;2686,2;0,0;885,7199999999998;6062,815
3;3;0;55,4316;3127,1200000000003;1229,73;0,0;378,9900000000001;2276,3800000000006
3;3;1;55,4316;1921,7350000000008;677,77;0,0;362,2499999999998;1606,2150000000006
3;4;0;26,871597;0,0;9042,32;0,0;16605,07500000001;7562,755000000012
3;4;1;26,871597;0,0;5573,385;0,0;13031,345000000001;7457,960000000001
3;5;0;47,039997;5232,625;1938,025;0,0;552,22;3846,8200000000006
3;5;1;47,039997;4521,48;1627,015;0,0;231,39499999999998;3125,8600000000006
3;6;0;66,14265;7769,43;3152,565;0,0;1412,1750000000002;6029,040000000001
3;6;1;66,14265;9548,630000000001;3972,635;0,0;1470,6499999999996;7046,645
3;7;0;48,817123;0,0;2442,685;0,0;5066,895000000001;2624,2100000000014
3;7;1;48,817123;5720,530000000001;2271,105;0,0;992,3199999999999;4441,745000000001
3;8;0;34,011494;11700,68000000026;4048,64;0,0;301,4999999997485;7953,540000000008
3;8;1;34,011494;-3,2384262458273753e-10;3192,025;0,0;7555,59;4363,564999999624
3;9;0;18,471598;0,0;6412,505;0,0;14450,660000000003;8038,155000000003
3;9;1;18,471598;0,0;8140,925;0,0;21971,045000000002;13830,120000000003
4;0;0;30,231598;-2,3709372997671216e-11;2263,41;0,0;2980,474999999999;717,0649999999268
4;0;1;30,231598;0,0;2228,665;0,0;3348,1799999999994;1119,5149999999994
4;1;0;21,831598;0,0;4071,16;0,0;6771,9;2700,7399999999993
4;1;1;21,831598;0,0;4765,165;0,0;8390,39;3625,2249999999995
4;2;0;33,5916;-3,871603557692453e-11;2257,085;0,0;3299,400000000002;1042,3149999999132
4;2;1;33,5916;0,0;2684,58;0,0;6062,815;3378,2349999999997
4;3;0;55,4316;0,0;1024,475;0,0;2276,3800000000006;1251,9050000000007
4;3;1;55,4316;0,0;850,16;0,0;1606,2150000000006;756,0550000000006
4;4;0;26,871597;0,0;5026,16;0,0;7562,755000000012;2536,595000000012
4;4;1;26,871597;0,0;4524,505;0,0;7457,960000000001;2933,455000000001
4;5;0;47,039997;2,2737367544323206e-13;1626,405;0,0;3846,8200000000006;2220,415000000001
4;5;1;47,039997;0,0;1635,95;0,0;3125,8600000000006;1489,9100000000005
4;6;0;66,14265;0,0;3148,7;0,0;6029,040000000001;2880,3400000000006
4;6;1;66,14265;0,0;3334,79;0,0;7046,645;3711,8550000000005
