politica;n_particulas_inicial;seed_global;tiempo_total_seg;utilidad_real_total;utilidad_optimizador_promedio;utilidad_optimizador_mejor;utilidad_optimizador_std;gap_utilidad_real_vs_optimizador;precio_p0t0_promedio;tiempo_promedio_por_semana;utilidad_real_semana_1;utilidad_real_semana_2;utilidad_real_semana_3;utilidad_real_semana_4
sin_resampling;25;1142;233,62608242034912;8225183,629616685;4917161,842272267;6997598,6386689935;1351884,3716268386;3308021,7873444185;36,72600813344835;58,40652060508728;3111439,0534129795;3826535,5481021698;4553826,009104311;4008699,09059255
sin_resampling;50;1242;434,1215410232544;8634931,403787673;5085250,109880089;7017388,26990815;1322738,156179763;3549681,2939075837;36,84175287188857;108,5303852558136;3062588,2549041267;3935077,3233409706;4477541,56241975;4097003,081226103
sin_resampling;100;1342;744,3219931125641;8241495,039844381;4917101,431870278;7052499,3289478;1341149,8721435938;3324393,6079741027;35,224221042150106;186,08049827814102;3169906,047432208;3914762,019343568;4551590,060873834;3955578,157727657
actual;25;2142;426,0806391239166;9148556,068787966;5207512,86521808;7136442,497620442;1280433,7134930422;3941043,2035698863;36,193992384247565;106,52015978097916;3172455,0286291074;3888595,608168028;4468230,331183508;4163288,671555342
actual;50;2242;844,1741423606873;9471072,500812147;5292962,783243075;7263746,025992662;1338660,0198315433;4178109,717569072;36,685740597732575;211,0435355901718;3213490,2491250676;3839366,7030703784;4703168,646563747;4093302,1964480374
actual;100;2342;1666,8672142028809;9295338,187910393;5206068,707163654;7194028,896885093;1312252,6560812925;4089269,4807467386;39,970181966947905;416,7168035507202;3216765,2276513353;4081793,494540344;4540294,002320638;4024245,9010241386
agresivo;25;3142;207,4701702594757;8802745,376533646;5073011,467606903;7241727,843522929;1354597,227283135;3729733,908926743;35,92709552056205;51,86754256486893;3322030,7548079733;3812212,084557692;4416922,839491891;4048908,3523841463
agresivo;50;3242;426,20485758781433;8691927,232436027;5079610,236254526;7175672,131482882;1392309,1998213094;3612316,996181501;34,45150503929189;106,55121439695358;3201877,1765422625;3885464,422500168;4616053,106785782;4012285,542014267
agresivo;100;3342;876,1229848861694;9598014,639491761;5398513,661857111;7139244,282289546;1291282,359455016;4199500,97763465;36,16456085668308;219,03074622154236;3047738,7588663464;4036890,370210668;4579189,338686253;4114320,3929648357
conservador;25;4142;179,97451949119568;8356008,788499896;4942376,7560287975;7025049,671648172;1366709,2545522053;3413632,032471099;38,57948193575041;44,99362987279892;3108729,5248609055;3858406,7069035023;4124166,4972081473;4047238,259627009
conservador;50;4242;371,0054292678833;8547928,254125342;5027830,188612054;7002415,797809672;1315757,3523436238;3520098,0655132877;36,1707740655384;92,75135731697083;3109347,7147404007;3986188,584081254;4387290,816730096;3921191,903147316
conservador;100;4342;763,2289946079254;8338296,445876092;4906470,945832818;6981097,021106342;1279920,3823209836;3431825,500043274;39,643416863717526;190,80724865198135;3193748,4942286075;3777158,6030006357;4528575,413163172;3704234,934379351
adaptativo;25;5142;186,06870341300964;8500001,515475139;4982443,423125188;7150414,3769831415;1388740,2336948188;3517558,092349951;31,36663343905893;46,51717585325241;3239387,328445552;3866022,6516685965;4473946,548860199;3958792,2611888903
adaptativo;50;5242;446,4935812950134;9321285,301454522;5267601,7604018245;7139393,4803877445;1261309,4366298856;4053683,541052697;47,0246640924542;111,62339532375336;3131753,6460191947;3801306,736353095;4723138,323474762;3936274,081200151
adaptativo;100;5342;687,1050062179565;8889564,823706094;5130345,823946902;7252165,120728191;1366787,6027180136;3759218,9997591926;40,81326422912874;171,77625155448914;3224785,4818240637;3917412,0516915456;4390369,48339516;4099607,146864842
