politica;n_particulas_inicial;seed_global;tiempo_total_seg;utilidad_real_total;utilidad_optimizador_promedio;utilidad_optimizador_mejor;utilidad_optimizador_std;gap_utilidad_real_vs_optimizador;precio_p0t0_promedio;tiempo_promedio_por_semana;utilidad_real_semana_1;utilidad_real_semana_2;utilidad_real_semana_3;utilidad_real_semana_4
sin_resampling;25;42;193,7743420600891;8626642,159605443;5083374,798007167;6884418,966872135;1281235,0860821141;3543267,3615982765;28,011791986369172;48,44358551502228;2984349,7300744504;3887131,369071556;4514073,596419245;3770588,2999774707
sin_resampling;50;42;379,10127568244934;8250317,309032134;4934569,368727711;7052328,019557762;1357012,5967609424;3315747,9403044228;32,61550746872422;94,77531892061234;3146037,7934986935;3911703,747291034;4466792,938495903;4152302,512702604
sin_resampling;100;42;671,456155538559;8333505,007929218;4939307,562650359;7060159,549107012;1348953,9099579696;3394197,4452788588;34,01587693735539;167,86403888463974;3146037,7934986935;3876280,328140903;4351448,393428668;4120969,182469447
actual;25;42;372,2064461708069;8609440,183926124;5028391,457352426;7077543,395973669;1307365,1342967872;3581048,726573698;35,191143222228085;93,05161154270172;3148630,2520975643;3980731,358309499;4555779,978820074;4252395,899352359
actual;50;42;746,4966459274292;9350819,640992817;5256397,491092633;7252206,205667101;1302815,9653999687;4094422,149900183;36,04529112668635;186,6241614818573;3233931,9578628857;3916237,7691147625;4417849,389058257;4327203,78640588
actual;100;42;1484,1903312206268;9415522,99855718;5247130,351701826;7190047,8762712665;1247568,974642155;4168392,6468553543;32,52145887658338;371,0475828051567;3222903,495067389;3939047,1460952763;4597580,020157802;4233157,138463871
agresivo;25;42;185,59638857841492;8940243,077704646;5180529,96935037;7043686,010338819;1319196,5932856838;3759713,108354276;24,67740274379539;46,39909714460373;3009304,1515639825;4012789,002240703;4740328,606004587;3670661,381230395
agresivo;50;42;386,94336009025574;8453306,9705244;4994374,800396423;7113865,304814405;1345037,5093025246;3458932,1701279776;32,81444238421711;96,73584002256393;3150351,0926113296;3837566,610190558;4563319,3178785;4187905,332969418
agresivo;100;42;778,7923228740692;9606556,530938894;5319381,720299459;7336837,172589827;1289928,6594981013;4287174,8106394345;33,40620412973563;194,6980807185173;3275591,504757696;3608722,823952322;4143105,9899539053;4261168,493701264
conservador;25;42;161,76644563674927;8534293,033733118;5042232,419891983;6902992,273006845;1269483,9582912924;3492060,613841135;34,240101926332095;40,44161140918732;2987333,9275903623;3880164,7834880445;4533266,120065122;4083637,536098391
conservador;50;42;328,1140718460083;8559128,592208846;5020832,5179435145;7202100,776657468;1380579,395979455;3538296,074265331;32,309897089616754;82,02851796150208;3274340,262766679;3911703,747291034;4533454,326361243;4177065,512571788
conservador;100;42;650,8640158176422;8652307,736169707;5038134,822522941;7179601,584743992;1398147,9922607813;3614172,913646766;34,190812956732;162,71600395441055;3193869,3905738676;3952587,66321235;4351448,393428668;4168274,4279137775
adaptativo;25;42;153,82364892959595;8956282,018028328;5126859,4729283005;6895254,917223605;1226657,3550514018;3829422,5451000277;32,523518158950274;38,45591223239899;2986023,8939874475;3958065,181523715;4509963,144880916;4121122,3652740736
adaptativo;50;42;313,6345865726471;8859892,751123078;5086797,933607135;7118570,543744795;1322071,9460483263;3773094,817515943;30,09404107929643;78,40864664316177;3188610,9986347794;3948848,1133971894;4376004,377917904;4094831,1863395167
adaptativo;100;42;622,3426895141602;9001764,90182846;5176799,090614973;7289905,811347912;1417184,8908374517;3824965,8112134878;34,95015504399907;155,58567237854004;3242595,514291585;3994222,059601916;4499644,433751918;4029544,5396404276
