n_particles;semana;experiment_seed;optimization_time_seconds;best_utility;best_price_p0t0;total_particles_evaluated;initial_stage_particles;resampling_rounds;best_initial_utility;improvement_from_resampling;improvement_percentage;particles_per_round;utility_per_round;final_inventory_p0t0;demanda_promedio_p0t0;shortage_promedio_p0t0
10;1;22346;117.55696058273315;7101634.838034676;30.20752903384579;75;10;3;6840923.319756514;260711.518278162;3.8110574566042845;[('Initial', 10), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 6840923.319756514), ('Round 1', 7019501.344828432), ('Round 2', 7043259.157519771), ('Round 3', 7101634.838034676)];1363.544999999903;2040.455;0.0
10;2;22347;165.78328204154968;5471469.510636881;20.946524485092326;75;10;3;5193980.321398964;277489.18923791684;5.342515220835049;[('Initial', 10), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 5193980.321398964), ('Round 1', 5376043.443650915), ('Round 2', 5455546.46544876), ('Round 3', 5471469.510636881)];1363.544999999903;0.0;1520.1750000000968
10;3;22348;226.02350425720215;4247296.275934827;28.674831998135883;75;10;3;3953110.9242681665;294185.35166666005;7.441869385972824;[('Initial', 10), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 3953110.9242681665), ('Round 1', 4101938.0694057927), ('Round 2', 4201903.977012932), ('Round 3', 4247296.275934827)];104.53500000000196;3126.465;121.38
10;4;22349;277.19828605651855;3653808.993872097;44.136995198640804;75;10;3;3423203.2072179294;230605.7866541678;6.736549737039519;[('Initial', 10), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 3423203.2072179294), ('Round 1', 3500875.9592011487), ('Round 2', 3578381.239396259), ('Round 3', 3653808.993872097)];284.1;2758.9;15.495
20;1;32346;236.8165819644928;7128120.788098803;36.97907954166189;85;20;3;6998356.818137562;129763.96996124089;1.8542062563162411;[('Initial', 20), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 6998356.818137562), ('Round 1', 7078695.50902162), ('Round 2', 7061641.385051262), ('Round 3', 7128120.788098803)];1524.634999999899;1879.365;0.0
20;2;32347;307.2412407398224;5384512.472034801;40.324167002382325;85;20;3;5091386.9738061195;293125.4982286813;5.757281851423528;[('Initial', 20), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 5091386.9738061195), ('Round 1', 5215267.5031041), ('Round 2', 5309461.782841225), ('Round 3', 5384512.472034801)];145.81499999999954;2332.185;13.24
20;3;32348;281.47504711151123;4048978.910379796;38.76553601785873;85;20;3;3955946.579718254;93032.33066154178;2.3517084669067403;[('Initial', 20), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 3955946.579718254), ('Round 1', 3960935.3055214765), ('Round 2', 4048978.910379796), ('Round 3', 4047657.4324097573)];296.8850000000005;2937.115;29.88
20;4;32349;268.76972675323486;3635339.0572230495;41.552682430790455;85;20;3;3414840.650527154;220498.40669589536;6.457062840160835;[('Initial', 20), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 3414840.650527154), ('Round 1', 3548274.874455365), ('Round 2', 3573854.4665978034), ('Round 3', 3635339.0572230495)];274.9099999999992;2865.09;18.665
50;1;62346;334.5254735946655;7323124.261095702;21.407632788049582;115;50;3;7009540.878891311;313583.38220439106;4.473665074822848;[('Initial', 50), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 7009540.878891311), ('Round 1', 7232811.869527484), ('Round 2', 7259226.388615868), ('Round 3', 7323124.261095702)];3404.0;0.0;0.0
50;2;62347;377.92042303085327;5690064.585095073;39.75500819756481;115;50;3;5446756.879057508;243307.70603756513;4.467019759465865;[('Initial', 50), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 5446756.879057508), ('Round 1', 5611697.399158348), ('Round 2', 5637404.92838542), ('Round 3', 5690064.585095073)];1027.3049999999107;2376.695;0.0
50;3;62348;394.719868183136;4258096.489143814;48.67225648122855;115;50;3;4029103.7575824643;228992.7315613497;5.683465736775901;[('Initial', 50), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 4029103.7575824643), ('Round 1', 4139087.0167069486), ('Round 2', 4214041.03588588), ('Round 3', 4258096.489143814)];285.21500000000015;2673.785;11.585
50;4;62349;381.21588683128357;3876046.8630024884;44.847501824542924;115;50;3;3570102.0180964456;305944.8449060428;8.56963872055316;[('Initial', 50), ('Round 1', 25), ('Round 2', 22), ('Round 3', 18)];[('Initial', 3570102.0180964456), ('Round 1', 3857212.9774392825), ('Round 2', 3832465.9214868527), ('Round 3', 3876046.8630024884)];313.9600000000009;2740.04;13.72
