#{"t_start": 1747792596.386986, "env_id": "None"}
r,l,t
56.748225,1,2.909088
56.732588,1,4.278086
56.718019,1,5.130208
56.716931,1,6.274769
56.739917,1,7.909744
56.72674,1,10.701812
56.732342,1,12.841103
56.748396,1,14.680958
56.730627,1,16.044096
56.732278,1,16.999655
56.709008,1,17.953452
56.748448,1,18.820912
56.724387,1,19.946222
56.777974,1,21.105577
56.73891,1,22.158819
56.738731,1,23.020406
56.733509,1,24.309373
56.717296,1,25.338477
56.745777,1,26.371262
56.734824,1,27.206879
56.73846,1,28.053538
56.735568,1,29.049534
56.747,1,30.056775
56.721688,1,30.936468
56.728328,1,31.969586
56.727548,1,33.256075
56.726468,1,34.511437
56.734257,1,35.50372
56.705627,1,36.497469
56.75829,1,37.377028
56.736591,1,38.309696
56.706686,1,39.75712
56.721847,1,41.024578
56.735405,1,42.104688
56.731904,1,43.145758
56.73195,1,44.088726
56.742165,1,45.257855
56.727578,1,46.608297
56.710204,1,47.778117
56.748787,1,49.186448
56.74462,1,50.49286
56.756776,1,51.351853
56.71916,1,52.344812
56.722081,1,53.18962
56.698606,1,54.079429
56.737111,1,55.080302
56.720551,1,56.121453
56.722881,1,57.045879
56.754354,1,58.061672
56.748488,1,59.036229
56.733071,1,60.106929
56.729626,1,60.924038
56.716911,1,61.943408
56.717981,1,62.972351
56.768434,1,63.891979
56.739392,1,65.13738
56.74454,1,66.466262
56.745133,1,67.610469
56.747045,1,68.692411
56.725058,1,69.619225
56.747094,1,70.517688
56.747094,1,71.978013
56.723236,1,73.411248
56.758259,1,74.471969
56.760781,1,75.522813
56.712202,1,76.74527
56.740636,1,77.767803
56.758606,1,78.643579
56.736755,1,79.693032
56.769713,1,80.827469
56.753107,1,82.100588
56.758091,1,83.26937
56.717215,1,84.376173
56.755026,1,85.447372
56.73641,1,86.523434
56.713506,1,87.368537
56.724588,1,88.450864
56.719534,1,89.348918
56.724234,1,90.34788
56.756063,1,91.388103
56.698819,1,92.358941
56.736195,1,93.282171
56.723582,1,94.348149
56.727416,1,95.220365
56.741635,1,96.207364
