producto;grupo;alfa;gamma;rho;theta
producto_1;alto;0,02000000;1,00000000;8326,07693288;266,43289690
producto_1;bajo;0,02000000;0,69000000;7219,56194288;113,90600162
producto_1;medio;0,02000000;0,84000000;7505,67765787;1163,54266146
producto_2;alto;0,02000000;1,00000000;14952,81307056;88,34598221
producto_2;bajo;0,02000000;0,70000000;13685,87536928;123,74828905
producto_2;medio;0,02000000;0,84000000;14626,86777806;831,03704272
producto_3;alto;0,02000000;1,00000000;10324,90952645;304,16934775
producto_3;bajo;0,02000000;0,68000000;9123,21764357;95,02036454
producto_3;medio;0,02000000;0,85000000;9883,73119278;300,97167846
producto_4;alto;0,02000000;1,00000000;7052,21989170;334,19408043
producto_4;bajo;0,02000000;0,71000000;6421,40498451;119,46133130
producto_4;medio;0,02000000;0,87000000;6682,77810018;910,62964242
producto_5;alto;0,02000000;1,00000000;17103,68050146;119,00827282
producto_5;bajo;0,02000000;0,69000000;15677,09226188;118,27348758
producto_5;medio;0,02000000;0,86000000;15913,37638739;1089,23338261
producto_6;alto;0,02000000;1,00000000;11686,91126801;186,49121279
producto_6;bajo;0,02000000;0,70000000;9409,79712527;73,76840073
producto_6;medio;0,02000000;0,86000000;10310,12098275;2472,24916525
producto_7;alto;0,02000000;1,00000000;43131,16100948;250,81247744
producto_7;bajo;0,02000000;0,74000000;39674,60467220;533,62564331
producto_7;medio;0,02000000;0,84000000;39556,39011411;1670,66605625
producto_8;alto;0,02000000;1,00000000;17154,24142513;182,06895635
producto_8;bajo;0,02000000;0,69000000;14572,18788685;103,74958889
producto_8;medio;0,02000000;0,85000000;14514,48135065;593,43125208
producto_9;alto;0,02000000;1,00000000;12528,49781057;252,33800075
producto_9;bajo;0,02000000;0,69000000;11267,93006226;121,18012083
producto_9;medio;0,02000000;0,84000000;11893,35807252;369,89042414
producto_10;alto;0,02000000;1,00000000;20026,67208444;39,61942797
producto_10;bajo;0,02000000;0,62000000;18657,79509923;109,63231306
producto_10;medio;0,02000000;0,78000000;19296,07159967;611,88906737
