producto;tienda;grupo;mu_historico;precio_historico;gamma;varianza
1;1;alto;2879,71;41,13;1,00;68459,67
1;1;medio;2419,06;37,63;0,84;20142,14
1;1;bajo;1894,90;37,09;0,66;34827,88
2;1;alto;7620,68;29,97;1,00;547311,55
2;1;medio;6249,69;27,83;0,82;96976,23
2;1;bajo;5056,00;25,92;0,66;342871,32
3;1;alto;4876,75;45,87;1,00;208955,13
3;1;medio;3953,69;42,81;0,81;47551,62
3;1;bajo;3118,94;40,10;0,64;126599,16
4;1;alto;1880,26;72,69;1,00;10533,16
4;1;medio;1652,31;73,56;0,88;1726,31
4;1;bajo;1438,89;66,27;0,77;12363,96
5;1;alto;10990,06;37,07;1,00;1036740,79
5;1;medio;8519,81;33,73;0,78;261014,11
5;1;bajo;6681,85;32,21;0,61;509593,27
6;1;alto;2849,76;62,51;1,00;26262,54
6;1;medio;2539,87;58,47;0,89;8918,38
6;1;bajo;2062,18;59,19;0,72;51959,16
7;1;alto;5709,79;93,83;1,00;142828,47
7;1;medio;4909,21;96,74;0,86;45034,30
7;1;bajo;4032,96;98,74;0,71;143726,55
8;1;alto;4224,79;67,83;1,00;192676,69
8;1;medio;3557,35;66,73;0,84;33770,28
8;1;bajo;2864,22;64,92;0,68;94245,82
9;1;alto;5310,62;45,28;1,00;500469,31
9;1;medio;4379,75;42,93;0,82;43380,53
9;1;bajo;3568,71;40,55;0,67;110227,32
10;1;alto;9019,93;25,29;1,00;627858,04
10;1;medio;7486,16;23,12;0,83;132212,95
10;1;bajo;5801,03;22,39;0,64;496360,34
1;2;alto;3547,32;42,66;1,00;50776,77
1;2;medio;2967,46;37,68;0,84;10535,57
1;2;bajo;2444,72;35,59;0,69;54914,79
2;2;alto;8799,54;26,51;1,00;885261,63
2;2;medio;7413,53;25,26;0,84;73548,28
2;2;bajo;6130,58;22,32;0,70;309843,96
3;2;alto;4333,43;43,41;1,00;66070,80
3;2;medio;3666,99;41,45;0,85;48345,00
3;2;bajo;2929,29;37,52;0,68;93233,51
4;2;alto;1493,53;77,61;1,00;8168,19
4;2;medio;1299,10;74,93;0,87;3152,39
4;2;bajo;1064,97;72,71;0,71;10558,93
5;2;alto;8355,28;35,82;1,00;594959,07
5;2;medio;7171,66;32,31;0,86;54390,84
5;2;bajo;5745,04;31,64;0,69;284805,76
6;2;alto;2757,90;72,20;1,00;43542,73
6;2;medio;2364,35;66,09;0,86;4625,51
6;2;bajo;1929,53;61,39;0,70;52399,46
7;2;alto;6454,94;94,97;1,00;172580,05
7;2;medio;5392,31;90,92;0,84;22796,75
7;2;bajo;4778,88;90,77;0,74;47576,10
8;2;alto;4070,01;71,93;1,00;95051,92
8;2;medio;3455,71;63,63;0,85;23579,24
8;2;bajo;2797,29;63,97;0,69;78217,65
9;2;alto;5053,12;45,40;1,00;106242,88
9;2;medio;4233,49;42,93;0,84;52686,86
9;2;bajo;3463,56;40,43;0,69;102458,74
10;2;alto;12062,06;25,35;1,00;3684333,44
10;2;medio;9374,94;23,67;0,78;153011,27
10;2;bajo;7478,47;21,81;0,62;517615,60
