semana_año,producto_idx,tienda_idx,demanda_real,demanda_estimacion_modelo
1,0,0,1997.67,1890.43
1,0,1,2651.0,2515.33
1,1,0,6193.67,6120.51
1,1,1,6237.0,7007.2
1,2,0,2560.67,2657.43
1,2,1,2394.67,2372.3
1,3,0,1388.0,1325.12
1,3,1,1123.33,1157.34
1,4,0,9096.33,8770.93
1,4,1,7927.33,8020.91
1,5,0,1827.67,1974.33
1,5,1,1950.67,1899.99
1,6,0,4147.33,3890.7
1,6,1,3946.0,3883.81
1,7,0,3154.33,3375.59
1,7,1,4035.0,4077.45
1,8,0,3249.33,3890.14
1,8,1,3420.67,3687.96
1,9,0,5814.67,5787.5
1,9,1,7092.33,6914.5
2,0,0,2780.0,2685.12
2,0,1,3067.67,3185.98
2,1,0,5398.67,5207.03
2,1,1,7225.0,7244.06
2,2,0,4008.67,4126.13
2,2,1,1977.0,1972.36
2,3,0,1641.33,1691.18
2,3,1,1027.0,1048.63
2,4,0,6842.33,5948.06
2,4,1,8052.33,7552.18
2,5,0,1424.0,1455.15
2,5,1,1898.33,1937.14
2,6,0,2833.67,2944.49
2,6,1,3202.33,3121.22
2,7,0,3754.0,3749.36
2,7,1,2166.0,2266.6
2,8,0,4150.67,3943.82
2,8,1,2648.0,2886.46
2,9,0,5458.67,5599.03
2,9,1,8671.67,8697.37
3,0,0,3104.0,3466.06
3,0,1,2668.0,2680.97
3,1,0,5950.0,5511.1
3,1,1,8419.67,8273.05
3,2,0,3475.67,3543.93
3,2,1,2979.33,3184.48
3,3,0,1133.33,1219.84
3,3,1,799.0,695.29
3,4,0,8024.0,8106.49
3,4,1,4863.0,4920.11
3,5,0,2592.67,2652.9
3,5,1,2504.0,2451.53
3,6,0,3753.67,3774.79
3,6,1,4896.33,4807.74
3,7,0,2175.33,2190.86
3,7,1,2030.0,2140.96
3,8,0,4149.0,4200.12
3,8,1,3229.33,3337.32
3,9,0,8144.67,8203.17
3,9,1,9669.0,9749.24
4,0,0,2459.0,2422.13
4,0,1,2295.0,2343.76
4,1,0,5849.67,5593.43
4,1,1,5997.0,6186.63
4,2,0,2918.33,2605.34
4,2,1,3088.67,3031.87
4,3,0,2025.67,2071.08
4,3,1,1738.33,1732.68
4,4,0,3882.67,4524.35
4,4,1,3892.33,4050.2
4,5,0,2618.67,2586.63
4,5,1,2805.67,2769.02
4,6,0,3066.33,3093.25
4,6,1,3033.33,3062.47
4,7,0,3220.0,3203.78
4,7,1,2438.0,2448.8
4,8,0,5579.67,5311.37
4,8,1,4133.0,4210.07
4,9,0,5519.67,5277.45
4,9,1,10648.0,10953.43
1,0,0,2547.33,2411.22
1,0,1,3138.33,2977.95
1,1,0,4897.0,4839.01
1,1,1,4639.33,5214.42
1,2,0,3067.33,3182.83
1,2,1,2667.33,2642.62
1,3,0,1692.0,1616.23
1,3,1,1232.67,1269.68
1,4,0,7168.33,6912.03
1,4,1,6175.33,6248.36
1,5,0,2862.0,3089.6
1,5,1,3096.33,3016.38
1,6,0,3970.0,3724.08
1,6,1,3670.0,3611.79
1,7,0,2576.67,2758.2
1,7,1,3286.67,3322.03
1,8,0,3365.0,4027.87
1,8,1,3404.33,3670.43
1,9,0,6266.67,6237.18
1,9,1,7776.33,7581.51
2,0,0,2732.0,2638.57
2,0,1,3012.0,3128.19
2,1,0,4103.67,3957.61
2,1,1,5507.33,5522.29
2,2,0,5615.33,5778.57
2,2,1,2800.33,2793.69
2,3,0,2229.33,2287.73
2,3,1,1433.33,1462.9
2,4,0,6566.33,5708.02
2,4,1,7698.0,7220.17
2,5,0,2028.33,2071.9
2,5,1,2559.0,2607.24
2,6,0,5083.67,5281.2
2,6,1,5840.0,5703.65
2,7,0,2502.33,2499.14
2,7,1,1461.67,1531.0
2,8,0,3995.0,3795.22
2,8,1,2757.0,3004.34
2,9,0,5359.33,5496.62
2,9,1,9346.33,9373.69
3,0,0,2812.0,3140.46
3,0,1,2311.0,2322.67
3,1,0,5640.67,5224.43
3,1,1,7780.67,7644.54
3,2,0,4488.0,4574.56
3,2,1,3591.33,3836.85
3,3,0,1293.0,1389.48
3,3,1,866.33,754.55
3,4,0,8740.0,8829.86
3,4,1,5134.33,5194.21
3,5,0,2300.0,2353.84
3,5,1,2305.67,2256.45
3,6,0,4238.33,4262.0
3,6,1,5664.0,5561.43
3,7,0,2618.33,2637.17
3,7,1,2421.33,2551.24
3,8,0,6482.0,6560.89
3,8,1,4522.0,4671.16
3,9,0,7307.0,7359.73
3,9,1,8712.67,8785.17
4,0,0,2986.0,2940.84
4,0,1,2632.0,2686.56
4,1,0,3861.33,3691.7
4,1,1,4317.33,4454.35
4,2,0,2712.67,2421.28
4,2,1,3140.0,3082.19
4,3,0,1163.0,1197.09
4,3,1,981.33,978.3
4,4,0,5002.0,5826.05
4,4,1,4618.67,4805.47
4,5,0,1614.0,1592.63
4,5,1,1869.33,1842.29
4,6,0,4326.33,4362.9
4,6,1,4147.67,4184.98
4,7,0,3792.0,3772.73
4,7,1,2914.33,2927.23
4,8,0,5701.0,5427.01
4,8,1,4078.67,4154.62
4,9,0,5578.0,5333.06
4,9,1,10649.33,10955.22
