semana;tienda;producto;demanda_real;inventario_disp;precio_optimo;orden_inv_opt;demanda_insatisfecha;costo_var;costo_fijo;binaria_ordenar;venta;costo_orden;costo_orden_fijo;costo_dem_ins;costo_inv
1;0;0;1997,67;3404,0;25,04175367613254;0,0;0,0;28,792;530,0;0;50025,16;0,0;0,0;0,0;4049,11
1;0;0;2547,33;1406,33;25,04175367613254;0,0;1141,0;28,792;530,0;0;35216,97;0,0;0,0;2857,26;0,0
2;0;0;2780,0;0,0;33,287139414519146;0,0;2780,0;28,792;530,0;0;0,0;0,0;0,0;9253,82;0,0
2;0;0;2732,0;0,0;33,287139414519146;0,0;2732,0;28,792;530,0;0;0,0;0,0;0,0;9094,05;0,0
3;0;0;3104,0;3412,165000000002;36,79608982768558;3412,17;0,0;28,792;530,0;1;114215,06;98243,05;530,0;0,0;887,27
3;0;0;2812,0;3720,3300000000036;36,79608982768558;3412,17;0,0;28,792;530,0;1;103470,6;98243,05;530,0;0,0;2615,26
4;0;0;2459,0;3786,600000000001;40,07964263674016;2878,27;0,0;28,792;530,0;1;98555,84;82871,15;530,0;0,0;3822,43
4;0;0;2986,0;4205,869999999998;40,07964263674016;2878,27;0,0;28,792;530,0;1;119677,81;82871,15;530,0;0,0;3512,25
1;0;1;6193,67;8666,0;28,113309661263685;0,0;0,0;20,792;530,0;0;174124,56;0,0;0,0;0,0;5140,47
1;0;1;4897,0;2472,33;28,113309661263685;0,0;2424,67;20,792;530,0;0;69505,38;0,0;0,0;6816,55;0,0
2;0;1;5398,67;778,65;38,16675284798712;778,65;4620,02;20,792;530,0;1;29718,54;16189,69;530,0;17633,12;0,0
2;0;1;4103,67;778,65;38,16675284798712;778,65;3325,02;20,792;530,0;1;29718,54;16189,69;530,0;12690,52;0,0
3;0;1;5950,0;4906,115;24,28152629112816;4906,11;1043,8850000000002;20,792;530,0;1;119127,96;102007,94;530,0;2534,71;0,0
