semana,tienda,producto,demanda_real
1,0,0,1689
2,0,0,1206
3,0,0,3263
4,0,0,2272
1,1,0,2025
2,1,0,2412
3,1,0,2410
4,1,0,2490
1,0,1,5826
2,0,1,4295
3,0,1,6129
4,0,1,7868
1,1,1,6704
2,1,1,3720
3,1,1,7342
4,1,1,6453
1,0,2,3583
2,0,2,3798
3,0,2,3229
4,0,2,2355
1,1,2,3907
2,1,2,2830
3,1,2,6045
4,1,2,2870
1,0,3,1437
2,0,3,932
3,0,3,1841
4,0,3,1439
1,1,3,826
2,1,3,668
3,1,3,1625
4,1,3,1180
1,0,4,9284
2,0,4,4038
3,0,4,7446
4,0,4,15436
1,1,4,3784
2,1,4,3804
3,1,4,5537
4,1,4,6780
1,0,5,2897
2,0,5,2339
3,0,5,1818
4,0,5,3007
1,1,5,2285
2,1,5,1399
3,1,5,2183
4,1,5,2681
1,0,6,4640
2,0,6,4964
3,0,6,3384
4,0,6,4048
1,1,6,3686
2,1,6,4680
3,1,6,5569
4,1,6,5185
1,0,7,2436
2,0,7,3662
3,0,7,2208
4,0,7,4180
1,1,7,3446
2,1,7,2974
3,1,7,2682
4,1,7,2993
1,0,8,2962
2,0,8,4255
3,0,8,2003
4,0,8,3081
1,1,8,1669
2,1,8,1109
3,1,8,4584
4,1,8,3428
1,0,9,6578
2,0,9,6456
3,0,9,12286
4,0,9,9034
1,1,9,7388
2,1,9,8360
3,1,9,7336
4,1,9,6690
